word,full_name
CWEP,Commonwealth Work Experience Program
CYSS,Community Youth Support Scheme
ABC,Australian Broadcasting Corporation
ABSEC,Aboriginal Secondary Assistance Scheme
ABSTUDY,Aboriginal Study Assistance Scheme
ADAB,Australian Development Assistance Bureau
ADC,Aboriginal Development Commission
ADF,Australian Defence Force
AEC,Australian Education Council
AECD,Aged and Extended Care Departments
AFC,Australian Film Commission
AFEI,Additional Female Employment Incentives
AFP,Australian Federal Police
AGPS,Australian Government Publishing Service
AGRBO,Australian Government Retirement Benefits Office
AHC,Australian Housing Council
AHL,Aboriginal Hostels Limited
AHRC,Australian Housing Research Council
AIAS,Australian Institute of Aboriginal Studies
AIC,Assistance for Isolated Children Scheme
AMEP,Adult Migrant Education Program
AOSAS,Aboriginal Overseas Study Awards Scheme
APS,Australian Public Service
ARGS,Australian Research Grants Scheme
ASAC,Australian Statistics Advisory Council
ASEAS,Adult Secondary Education Assistance Scheme
ATP,Adult Training Program
ATS,Australian Traineeship Scheme
AWSS,Adult Wages Subsidy Scheme
BI/NGO,Bilateral/Non-government Organisations
BLIPS,Basic Learning in Primary Schools Program
BLMR,Bureau of Labour Market Research
CAP,Crisis Accommodation Program
CDC,Curriculum Development Centre
CEDAW,Committee for Elimination of All Forms of Discrimination Against Women
CEP,Community Employment Program
CES,Commonwealth Employment Service
COSTAC,Commonwealth/State Training Advisory Committee
CPLS,Canberra Public Library Service
CRAFT,Commonwealth Rebate for Apprentice Full-Time Training
CRS,Commonwealth Rehabilitation Service
CSC,Commonwealth Schools Commission
CSHA,Commonwealth/State Housing Agreement
CSIRO,Commonwealth Scientific & Industrial Research Organisation
CSP,Children's Sharing Program
CSP,Cost Sharing Program
CSW,Commission on the Status of Women
CTEC,Commonwealth Tertiary Education Commission
CTP,Community Training Program
DEIR,Department of Employment and Industrial Relations
DNCE,Domiciliary Nursing Care Benefit
DOLAC,Departments of Labour Advisory Committee
DSH,Defence Service Homes
ECOSOC,Economic and Social Council
EEO,Equal Employment Opportunity
EPAC,Economic Planning and Advisory Council
ESL,English as a Second Language Program
ETP,Experimental Training Program
EWP,English in the Workplace Program
FECCA,Federation of Ethnic Communities Councils of Australia
FHOS,First Home Owners Scheme
FMIP,Financial Management Improvement Program
GSAP,General Supported Accommodation Program
HACC,Home and Community Care Program
HPWP,Handicapped Persons Welfare Program
IAC,Industries Assistance Commission
IAFC,Independent Air Fares Committee
ILO,International Labour Organisation
IPTAAS,Isolated Patients Travel and Accommodation Assistance Scheme
ITS,Industry Training Services
IUD,Intra-Uterine Device
IYSH,International Year of Shelter for the Homeless
IYP,International Year of Peace
IYY,International Youth Year
JOLOR,Jobs on Local Roads
LATA,Labour Adjustment Training Arrangements
LGACHP,Local Government and Community Housing Program
LGDP,Local Government Development Program
MPSS,Migrant Project Subsidy Scheme
MRC,Migrant Resource Centre
MARS,Mortgage and Rent Relief Scheme
MSA,Manpower and Social Affairs Committee
MSTGS,Marine Sciences and Technologies Grants Scheme
NACMCME,National Advisory and Coordinating Committee on Multicultural Education
NAEC,National Aboriginal Education Committee
NAES,National Areas Enhancement Scheme
NCADA,National Campaign Against Drug Abuse
NCDC,National Capital Development Commission
NCHP,National Community Health Program
NEIS,New Enterprise Incentive Scheme
NHMRC,National Health and Medical Research Council
NHPP,National Health Promotion Program
NHTAP,National Health Technology Assessment Panel
NLCC,National Labour Consultative Council
NRFS,National Research Fellowships Scheme
NAF-QEII,National Research Fellowships – Queen Elizabeth II Awards
NSFP,National Sports Facilities Program
NSS,National Skills Shortages
NTC,National Training Council
NTIC,National Tourism Industry Committee
NWCC,National Women’s Consultative Council
OCC,Office of Child Care
OECD,Organisation for Economic Co-operation and Development
OLG,Office of Local Government
OSO,Overseas Student Office
OSW,Office of the Status of Women
OYA,Office of Youth Affairs
PASRDP,Program of Assistance for Sport and Recreation for Disabled People
PB,Program Budgeting
PCU,Policy Co-ordinating Unit
PEP,Participation and Equity Program
PGA,Postgraduate Awards Scheme
POE,Post Occupancy Evaluation
RAS,Relocation Assistance Scheme
RDP,Recreation Development Program
RFDS,Royal Flying Doctor Service
RGH,Repatriation General Hospital
RH,Repatriation Hospital
RPBS,Repatriation Pharmaceutical Benefits Scheme
RSI,Repetitive Strain Injury
RWAG,Rural Women’s Access Grants Program
SAA,Standards Association of Australia
SAAP,Supported Accommodation Assistance Program
SAS,Secondary Allowance Scheme
SAT,Special Apprenticeship Training
SBS,Special Broadcasting Service
SDP,Sports Development Program
SEC,Senior Executive Conference
SMOS,Senior Management Occasional Seminars
SEF,Senior Executive Fellowships
SEMP,Senior Executive Management Program
SES,Senior Executive Service
SFIT,Superannuation Fund Investment Trust
SOVF,Special Overseas Visits Fund
SPB,Supporting Parents Benefit
SPHC,Southern Pacific Hotel Corporation
SRAP,Steel Regions Assistance Program
SAMC,Sport and Recreation Ministers Council
SYETP,Special Youth Employment Training Program
TAFE,Technical and Further Education
TAP,Training for Aborigines Program
TCF,Textile Clothing and Footwear Industries
TEAS,Tertiary Education Assistance Scheme
TIS,Telephone Interpreter Service
UNDFW,United Nations Development Fund for Women
UNFPA,United Nations Fund for Population Activities
UNICEF,United Nations Children’s Fund
VEA,Veterans' Entitlements Act
VHSP,Veterans’ Home Service Program
WESP,Women’s Emergency Services Program
WFF,Women’s Film Fund
WID,Women in Development
WIS,Women’s Information Service
WREIP,Women’s Research & Employment Initiatives Program
YSAP,Youth Supported Accommodation Program
